date,Broad,Major
2016-08-01,111.438,107.534
2016-09-01,112.317,107.826
2016-10-01,113.475,110.105
2016-11-01,116.108,112.06
2016-12-01,117.905,114.019
2017-01-01,117.786,113.082
2017-02-01,116.12,112.323
2017-03-01,115.656,112.991
2017-04-01,114.77,112.395
2017-05-01,114.259,111.399
2017-06-01,112.76,109.734
2017-07-01,111.061,107.063
2017-08-01,109.906,105.547
2017-09-01,108.854,104.161
2017-10-01,110.889,106.073
2017-11-01,111.164,106.64
2017-12-01,110.876,106.118
2018-01-01,108.357,103.194
2018-02-01,107.65,102.503
2018-03-01,107.947,103.163
2018-04-01,107.943,103.239
2018-05-01,111.047,106.091
2018-06-01,112.844,107.364
2018-07-01,113.06,107.735
2018-08-01,113.832,108.255
2018-09-01,114.079,107.676
2018-10-01,114.831,108.598
2018-11-01,116.169,109.686
2018-12-01,116.212,110.212
2019-01-01,114.442,109.153
2019-02-01,114.413,109.409
2019-03-01,114.784,109.948
2019-04-01,114.904,110.438
2019-05-01,115.957,110.877
2019-06-01,115.427,109.831
2019-07-01,115.078,109.973
2019-08-01,117.1,110.757
2019-09-01,117.324,111.197
2019-10-01,116.746,110.728
2019-11-01,116.559,110.708
2019-12-01,115.91,109.999
2020-01-01,115.279,109.881
2020-02-01,116.711,111.437
2020-03-01,121.023,112.713
2020-04-01,123.28,113.622
2020-05-01,122.615,113.204
2020-06-01,119.677,110.339
2020-07-01,118.69,108.822
2020-08-01,116.945,106.214
2020-09-01,116.343,106.549
2020-10-01,115.78,106.527
2020-11-01,114.098,105.63
2020-12-01,111.899,103.28
2021-01-01,111.487,102.799
2021-02-01,112.017,103.122
2021-03-01,113.337,104.159
2021-04-01,112.632,103.752
2021-05-01,111.212,101.916
2021-06-01,111.578,102.714
2021-07-01,113.063,104.585
2021-08-01,113.403,104.938
2021-09-01,113.444,105.249
2021-10-01,114.063,105.605
2021-11-01,114.99,106.939
2021-12-01,115.805,108.133
2022-01-01,115.037,107.55
2022-02-01,114.998,107.741
2022-03-01,116.291,109.578
2022-04-01,117.169,111.496
2022-05-01,119.696,114.217
2022-06-01,120.026,114.619
2022-07-01,122.751,117.482
2022-08-01,122.318,117.349
2022-09-01,125.595,121.303
2022-10-01,127.481,123.087
2022-11-01,124.853,119.607
2022-12-01,122.234,116.493
2023-01-01,119.81,114.643
2023-02-01,120.308,115.491
2023-03-01,120.745,116.095
2023-04-01,119.245,113.982
2023-05-01,119.629,114.795
2023-06-01,119.297,114.636
2023-07-01,118.049,112.938
2023-08-01,119.856,114.954
2023-09-01,121.646,116.942
2023-10-01,123.497,118.278
2023-11-01,121.222,116.613
2023-12-01,119.833,114.509
2024-01-01,120.227,114.713
2024-02-01,121.066,115.919
2024-03-01,120.659,115.653
2024-04-01,122.143,117.406
2024-05-01,121.858,116.95
2024-06-01,123.709,117.167
2024-07-01,123.382,116.613
2024-08-01,122.614,114.438
2024-09-01,121.885,113.135
2024-10-01,123.595,115.441
2024-11-01,126.311,118.093
2024-12-01,127.576,119.703
2025-01-01,128.837,121.324
2025-02-01,127.876,120.114
2025-03-01,126.243,117.498
2025-04-01,124.14,113.767
2025-05-01,122.342,113.072
2025-06-01,120.594,111.145
2025-07-01,120.113,110.804
2025-08-01,120.576,111.244
2025-09-01,120.029,110.777
2025-10-01,120.762,111.943
2025-11-01,121.418,113.005
2025-12-01,120.188,111.508
2026-01-01,119.23,111.083
2026-02-01,117.906,110.066
2026-03-20,120.276,112.141
