date,NetBusInv,net_invest,gdp
2022-01-01,3.517519977052196,0.89,25.3
2022-04-01,3.1058231738770052,0.8,25.9
2022-07-01,3.001704415319629,0.79,26.3
2022-10-01,3.432186621444773,0.92,26.8
2023-01-01,3.00881323773182,0.82,27.2
2023-04-01,3.0774148471552274,0.85,27.5
2023-07-01,3.2576527757267124,0.91,28.1
2023-10-01,3.247120587494224,0.92,28.4
2024-01-01,2.9336118046711523,0.84,28.7
2024-04-01,3.18655298286852,0.93,29.1
2024-07-01,3.115605409440823,0.92,29.5
2024-10-01,2.6127015754673346,0.78,29.8
2025-01-01,3.43698860329831,1.03,30.0
2025-04-01,2.6309982615144287,0.8,30.5
2025-07-01,2.484729979815118,0.77,31.1
2025-10-01,2.4972900518066594,0.79,31.4
