date,value,two_year,ffr
1994-06-01,1.66,5.93,4.27
1994-07-01,1.82,6.13,4.32
1994-08-01,1.7,6.18,4.48
1994-09-01,1.64,6.39,4.75
1994-10-01,2.0,6.73,4.73
1994-11-01,1.87,7.15,5.28
1994-12-01,2.08,7.59,5.51
1995-01-01,1.91,7.51,5.6
1995-02-01,1.2,7.11,5.91
1995-03-01,0.79,6.78,5.98
1995-04-01,0.53,6.57,6.04
1995-05-01,0.15,6.17,6.02
1995-06-01,-0.29,5.72,6.0
1995-07-01,-0.09,5.78,5.87
1995-08-01,0.23,5.98,5.75
1995-09-01,-0.02,5.81,5.83
1995-10-01,-0.07,5.7,5.77
1995-11-01,-0.32,5.48,5.8
1995-12-01,-0.36,5.32,5.69
1996-01-01,-0.53,5.11,5.64
1996-02-01,-0.23,5.03,5.25
1996-03-01,0.37,5.66,5.29
1996-04-01,0.69,5.96,5.27
1996-05-01,0.83,6.1,5.27
1996-06-01,0.99,6.3,5.31
1996-07-01,0.81,6.27,5.46
1996-08-01,0.8,6.03,5.23
1996-09-01,0.91,6.23,5.33
1996-10-01,0.64,5.91,5.27
1996-11-01,0.38,5.7,5.32
1996-12-01,0.41,5.78,5.37
1997-01-01,0.76,6.01,5.25
1997-02-01,0.7,5.9,5.19
1997-03-01,0.81,6.22,5.41
1997-04-01,0.9,6.45,5.55
1997-05-01,0.74,6.28,5.53
1997-06-01,0.51,6.09,5.59
1997-07-01,0.33,5.89,5.56
1997-08-01,0.39,5.94,5.55
1997-09-01,0.29,5.88,5.59
1997-10-01,0.25,5.77,5.52
1997-11-01,0.16,5.71,5.55
1997-12-01,0.15,5.72,5.56
1998-01-01,-0.16,5.36,5.51
1998-02-01,-0.11,5.42,5.53
1998-03-01,0.04,5.56,5.52
1998-04-01,0.11,5.56,5.46
1998-05-01,0.12,5.59,5.47
1998-06-01,-0.08,5.52,5.6
1998-07-01,-0.11,5.46,5.57
1998-08-01,-0.29,5.27,5.56
1998-09-01,-0.88,4.67,5.54
1998-10-01,-1.0,4.09,5.09
1998-11-01,-0.3,4.54,4.84
1998-12-01,-0.22,4.51,4.72
1999-01-01,-0.07,4.62,4.69
1999-02-01,0.1,4.88,4.78
1999-03-01,0.23,5.05,4.82
1999-04-01,0.22,4.98,4.76
1999-05-01,0.51,5.25,4.74
1999-06-01,0.85,5.62,4.77
1999-07-01,0.53,5.55,5.02
1999-08-01,0.59,5.68,5.09
1999-09-01,0.4,5.66,5.26
1999-10-01,0.66,5.86,5.2
1999-11-01,0.44,5.86,5.42
1999-12-01,0.81,6.1,5.29
2000-01-01,0.88,6.44,5.56
2000-02-01,0.86,6.61,5.75
2000-03-01,0.66,6.53,5.87
2000-04-01,0.39,6.4,6.01
2000-05-01,0.54,6.81,6.27
2000-06-01,-0.07,6.48,6.55
2000-07-01,-0.18,6.34,6.52
2000-08-01,-0.27,6.23,6.5
2000-09-01,-0.43,6.08,6.51
2000-10-01,-0.61,5.91,6.52
2000-11-01,-0.65,5.88,6.52
2000-12-01,-1.1,5.35,6.45
2001-01-01,-1.26,4.76,6.02
2001-02-01,-0.85,4.66,5.51
2001-03-01,-0.97,4.34,5.31
2001-04-01,-0.58,4.23,4.81
2001-05-01,0.03,4.26,4.23
2001-06-01,0.13,4.08,3.95
2001-07-01,0.26,4.04,3.78
2001-08-01,0.1,3.76,3.66
2001-09-01,0.16,3.12,2.96
2001-10-01,0.22,2.73,2.5
2001-11-01,0.67,2.78,2.11
2001-12-01,1.29,3.11,1.82
2002-01-01,1.28,3.03,1.75
2002-02-01,1.27,3.02,1.75
2002-03-01,1.83,3.56,1.73
2002-04-01,1.66,3.42,1.76
2002-05-01,1.5,3.26,1.76
2002-06-01,1.24,2.99,1.75
2002-07-01,0.82,2.56,1.74
2002-08-01,0.38,2.13,1.75
2002-09-01,0.25,2.0,1.75
2002-10-01,0.15,1.91,1.76
2002-11-01,0.59,1.92,1.33
2002-12-01,0.59,1.84,1.25
2003-01-01,0.49,1.74,1.26
2003-02-01,0.37,1.63,1.26
2003-03-01,0.32,1.57,1.25
2003-04-01,0.36,1.62,1.26
2003-05-01,0.15,1.42,1.27
2003-06-01,-0.0,1.23,1.23
2003-07-01,0.45,1.47,1.02
2003-08-01,0.85,1.86,1.01
2003-09-01,0.69,1.71,1.01
2003-10-01,0.73,1.75,1.02
2003-11-01,0.93,1.93,1.0
2003-12-01,0.92,1.91,0.99
2004-01-01,0.76,1.76,1.0
2004-02-01,0.73,1.74,1.01
2004-03-01,0.57,1.58,1.0
2004-04-01,1.06,2.07,1.01
2004-05-01,1.53,2.53,1.0
2004-06-01,1.73,2.76,1.03
2004-07-01,1.37,2.64,1.27
2004-08-01,1.08,2.51,1.43
2004-09-01,0.9,2.53,1.62
2004-10-01,0.83,2.58,1.76
2004-11-01,0.93,2.85,1.92
2004-12-01,0.85,3.01,2.16
2005-01-01,0.93,3.22,2.29
2005-02-01,0.89,3.38,2.5
2005-03-01,1.1,3.73,2.63
2005-04-01,0.88,3.65,2.78
2005-05-01,0.64,3.64,3.0
2005-06-01,0.6,3.64,3.04
2005-07-01,0.63,3.87,3.24
2005-08-01,0.56,4.04,3.49
2005-09-01,0.3,3.95,3.64
2005-10-01,0.51,4.27,3.76
2005-11-01,0.42,4.42,4.0
2005-12-01,0.25,4.4,4.16
2006-01-01,0.1,4.4,4.3
2006-02-01,0.18,4.67,4.49
2006-03-01,0.14,4.73,4.59
2006-04-01,0.12,4.89,4.77
2006-05-01,0.04,4.97,4.93
2006-06-01,0.12,5.12,5.0
2006-07-01,-0.13,5.12,5.25
2006-08-01,-0.34,4.9,5.25
2006-09-01,-0.48,4.77,5.25
2006-10-01,-0.45,4.8,5.25
2006-11-01,-0.51,4.74,5.25
2006-12-01,-0.56,4.67,5.24
2007-01-01,-0.38,4.88,5.26
2007-02-01,-0.42,4.85,5.27
2007-03-01,-0.69,4.57,5.26
2007-04-01,-0.58,4.67,5.24
2007-05-01,-0.48,4.77,5.25
2007-06-01,-0.27,4.98,5.25
2007-07-01,-0.44,4.82,5.26
2007-08-01,-0.72,4.31,5.04
2007-09-01,-0.95,4.01,4.97
2007-10-01,-0.78,3.97,4.75
2007-11-01,-1.16,3.34,4.5
2007-12-01,-1.1,3.12,4.22
2008-01-01,-1.46,2.48,3.93
2008-02-01,-0.99,1.97,2.96
2008-03-01,-0.99,1.62,2.6
2008-04-01,-0.22,2.05,2.27
2008-05-01,0.45,2.45,1.99
2008-06-01,0.77,2.77,2.0
2008-07-01,0.55,2.57,2.02
2008-08-01,0.43,2.42,1.99
2008-09-01,0.21,2.08,1.86
2008-10-01,0.6,1.61,1.02
2008-11-01,0.83,1.21,0.39
2008-12-01,0.65,0.82,0.17
2009-01-01,0.65,0.81,0.16
2009-02-01,0.75,0.98,0.22
2009-03-01,0.75,0.93,0.18
2009-04-01,0.77,0.93,0.15
2009-05-01,0.76,0.93,0.17
2009-06-01,0.98,1.18,0.21
2009-07-01,0.86,1.02,0.16
2009-08-01,0.95,1.12,0.16
2009-09-01,0.81,0.96,0.15
2009-10-01,0.83,0.95,0.12
2009-11-01,0.68,0.8,0.12
2009-12-01,0.76,0.87,0.12
2010-01-01,0.81,0.93,0.12
2010-02-01,0.73,0.86,0.13
2010-03-01,0.8,0.96,0.16
2010-04-01,0.86,1.06,0.2
2010-05-01,0.63,0.83,0.2
2010-06-01,0.55,0.72,0.18
2010-07-01,0.43,0.62,0.18
2010-08-01,0.33,0.52,0.19
2010-09-01,0.29,0.48,0.19
2010-10-01,0.19,0.38,0.19
2010-11-01,0.26,0.45,0.2
2010-12-01,0.43,0.62,0.18
2011-01-01,0.44,0.61,0.17
2011-02-01,0.61,0.77,0.16
2011-03-01,0.56,0.7,0.14
2011-04-01,0.64,0.73,0.1
2011-05-01,0.46,0.56,0.09
2011-06-01,0.32,0.41,0.09
2011-07-01,0.34,0.41,0.07
2011-08-01,0.13,0.23,0.1
2011-09-01,0.13,0.21,0.08
2011-10-01,0.21,0.28,0.07
2011-11-01,0.17,0.25,0.08
2011-12-01,0.19,0.26,0.07
2012-01-01,0.16,0.24,0.08
2012-02-01,0.17,0.28,0.1
2012-03-01,0.22,0.34,0.13
2012-04-01,0.15,0.29,0.15
2012-05-01,0.13,0.29,0.16
2012-06-01,0.13,0.29,0.16
2012-07-01,0.09,0.25,0.16
2012-08-01,0.14,0.27,0.13
2012-09-01,0.11,0.26,0.15
2012-10-01,0.12,0.28,0.16
2012-11-01,0.11,0.27,0.16
2012-12-01,0.09,0.26,0.16
2013-01-01,0.12,0.27,0.14
2013-02-01,0.13,0.27,0.14
2013-03-01,0.11,0.26,0.15
2013-04-01,0.09,0.23,0.14
2013-05-01,0.14,0.25,0.11
2013-06-01,0.24,0.33,0.1
2013-07-01,0.25,0.34,0.09
2013-08-01,0.27,0.36,0.08
2013-09-01,0.32,0.4,0.08
2013-10-01,0.25,0.34,0.09
2013-11-01,0.22,0.3,0.08
2013-12-01,0.25,0.34,0.09
2014-01-01,0.32,0.39,0.07
2014-02-01,0.26,0.33,0.07
2014-03-01,0.32,0.4,0.08
2014-04-01,0.33,0.42,0.09
2014-05-01,0.3,0.39,0.09
2014-06-01,0.36,0.45,0.1
2014-07-01,0.42,0.51,0.09
2014-08-01,0.38,0.47,0.09
2014-09-01,0.48,0.57,0.09
2014-10-01,0.36,0.45,0.09
2014-11-01,0.43,0.53,0.1
2014-12-01,0.51,0.64,0.12
2015-01-01,0.44,0.55,0.12
2015-02-01,0.51,0.62,0.11
2015-03-01,0.53,0.64,0.11
2015-04-01,0.42,0.54,0.12
2015-05-01,0.48,0.61,0.12
2015-06-01,0.56,0.69,0.13
2015-07-01,0.54,0.67,0.13
2015-08-01,0.56,0.7,0.14
2015-09-01,0.58,0.71,0.14
2015-10-01,0.52,0.64,0.12
2015-11-01,0.77,0.88,0.12
2015-12-01,0.75,0.98,0.23
2016-01-01,0.54,0.9,0.36
2016-02-01,0.36,0.73,0.37
2016-03-01,0.51,0.88,0.36
2016-04-01,0.4,0.77,0.37
2016-05-01,0.45,0.82,0.37
2016-06-01,0.35,0.73,0.38
2016-07-01,0.28,0.67,0.4
2016-08-01,0.34,0.74,0.4
2016-09-01,0.38,0.77,0.39
2016-10-01,0.44,0.84,0.4
2016-11-01,0.57,0.98,0.4
2016-12-01,0.66,1.2,0.54
2017-01-01,0.55,1.21,0.66
2017-02-01,0.55,1.2,0.66
2017-03-01,0.53,1.31,0.79
2017-04-01,0.34,1.24,0.91
2017-05-01,0.4,1.3,0.91
2017-06-01,0.3,1.34,1.04
2017-07-01,0.22,1.37,1.16
2017-08-01,0.18,1.34,1.16
2017-09-01,0.23,1.38,1.16
2017-10-01,0.39,1.55,1.16
2017-11-01,0.54,1.7,1.16
2017-12-01,0.55,1.84,1.3
2018-01-01,0.62,2.03,1.42
2018-02-01,0.76,2.18,1.42
2018-03-01,0.77,2.28,1.51
2018-04-01,0.69,2.38,1.69
2018-05-01,0.81,2.51,1.7
2018-06-01,0.71,2.53,1.82
2018-07-01,0.7,2.61,1.91
2018-08-01,0.72,2.64,1.91
2018-09-01,0.82,2.77,1.95
2018-10-01,0.67,2.86,2.19
2018-11-01,0.66,2.86,2.2
2018-12-01,0.41,2.68,2.27
2019-01-01,0.14,2.54,2.4
2019-02-01,0.1,2.5,2.4
2019-03-01,0.01,2.41,2.4
2019-04-01,-0.08,2.34,2.42
2019-05-01,-0.19,2.21,2.39
2019-06-01,-0.56,1.81,2.38
2019-07-01,-0.57,1.84,2.4
2019-08-01,-0.55,1.57,2.12
2019-09-01,-0.4,1.65,2.05
2019-10-01,-0.28,1.55,1.83
2019-11-01,0.06,1.61,1.55
2019-12-01,0.06,1.61,1.55
2020-01-01,-0.03,1.52,1.55
2020-02-01,-0.25,1.33,1.58
2020-03-01,-0.18,0.45,0.63
2020-04-01,0.18,0.22,0.05
2020-05-01,0.12,0.17,0.05
2020-06-01,0.11,0.19,0.08
2020-07-01,0.05,0.15,0.09
2020-08-01,0.04,0.14,0.09
2020-09-01,0.04,0.13,0.09
2020-10-01,0.06,0.15,0.09
2020-11-01,0.08,0.17,0.09
2020-12-01,0.05,0.14,0.09
2021-01-01,0.05,0.13,0.09
2021-02-01,0.04,0.12,0.08
2021-03-01,0.08,0.15,0.07
2021-04-01,0.09,0.16,0.07
2021-05-01,0.1,0.16,0.06
2021-06-01,0.13,0.2,0.08
2021-07-01,0.12,0.22,0.1
2021-08-01,0.12,0.22,0.09
2021-09-01,0.16,0.24,0.08
2021-10-01,0.31,0.39,0.08
2021-11-01,0.43,0.51,0.08
2021-12-01,0.6,0.68,0.08
2022-01-01,0.9,0.98,0.08
2022-02-01,1.36,1.44,0.08
2022-03-01,1.71,1.91,0.2
2022-04-01,2.21,2.54,0.33
2022-05-01,1.86,2.62,0.76
2022-06-01,1.81,3.0,1.19
2022-07-01,1.38,3.04,1.65
2022-08-01,0.92,3.25,2.33
2022-09-01,1.28,3.86,2.58
2022-10-01,1.3,4.38,3.08
2022-11-01,0.75,4.5,3.76
2022-12-01,0.2,4.29,4.09
2023-01-01,-0.12,4.21,4.33
2023-02-01,-0.03,4.53,4.57
2023-03-01,-0.35,4.3,4.65
2023-04-01,-0.81,4.02,4.83
2023-05-01,-0.91,4.13,5.05
2023-06-01,-0.44,4.64,5.08
2023-07-01,-0.29,4.83,5.12
2023-08-01,-0.43,4.9,5.33
2023-09-01,-0.31,5.02,5.33
2023-10-01,-0.26,5.07,5.33
2023-11-01,-0.45,4.88,5.33
2023-12-01,-0.87,4.46,5.33
2024-01-01,-1.01,4.32,5.33
2024-02-01,-0.79,4.54,5.33
2024-03-01,-0.74,4.59,5.33
2024-04-01,-0.46,4.87,5.33
2024-05-01,-0.47,4.86,5.33
2024-06-01,-0.59,4.74,5.33
2024-07-01,-0.83,4.5,5.33
2024-08-01,-1.36,3.97,5.33
2024-09-01,-1.51,3.62,5.13
2024-10-01,-0.86,3.97,4.83
2024-11-01,-0.39,4.26,4.65
2024-12-01,-0.26,4.23,4.48
2025-01-01,-0.06,4.27,4.33
2025-02-01,-0.12,4.21,4.33
2025-03-01,-0.36,3.97,4.33
2025-04-01,-0.55,3.78,4.33
2025-05-01,-0.41,3.92,4.33
2025-06-01,-0.44,3.89,4.33
2025-07-01,-0.45,3.88,4.33
2025-08-01,-0.63,3.7,4.33
2025-09-01,-0.66,3.57,4.23
2025-10-01,-0.56,3.52,4.08
2025-11-01,-0.33,3.55,3.88
2025-12-01,-0.23,3.5,3.73
2026-01-01,-0.1,3.54,3.64
2026-02-01,-0.17,3.47,3.64
2026-03-26,0.32,3.96,3.64
