date,Private,Government,Rest of World
2017-01-01,3.65,-5.56,1.91
2017-04-01,3.49,-5.74,2.25
2017-07-01,3.76,-5.74,1.98
2017-10-01,-1.13,-0.77,1.91
2018-01-01,3.94,-5.89,1.96
2018-04-01,4.31,-6.2,1.89
2018-07-01,3.69,-6.03,2.34
2018-10-01,3.91,-6.35,2.44
2019-01-01,4.46,-6.71,2.25
2019-04-01,4.25,-6.5,2.25
2019-07-01,4.69,-6.76,2.07
2019-10-01,4.98,-6.85,1.87
2020-01-01,5.3,-7.1,1.8
2020-04-01,23.37,-25.94,2.57
2020-07-01,14.31,-17.31,3.0
2020-10-01,7.22,-10.51,3.29
2021-01-01,17.31,-20.86,3.55
2021-04-01,8.26,-11.92,3.66
2021-07-01,5.47,-9.32,3.84
2021-10-01,2.6,-6.32,3.72
2022-01-01,-2.1,-2.28,4.39
2022-04-01,-0.77,-3.26,4.03
2022-07-01,0.67,-4.14,3.47
2022-10-01,1.57,-5.11,3.53
2023-01-01,4.21,-7.62,3.42
2023-04-01,5.01,-8.39,3.38
2023-07-01,5.06,-8.34,3.28
2023-10-01,4.1,-7.62,3.51
2024-01-01,4.1,-7.84,3.74
2024-04-01,3.93,-7.92,3.98
2024-07-01,3.94,-8.44,4.5
2024-10-01,4.26,-8.1,3.84
2025-01-01,3.06,-7.97,4.91
2025-04-01,3.85,-7.71,3.86
2025-07-01,4.21,-7.37,3.16
